enrollment,name,_group,email
20210032,Roberto Jimenez Flores,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
20210527,Roberto Jimenez Flores,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
20210262,Alberto Garcia Vazquez,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
20210263,Alberto Garcia Vazquez,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
20290263,Martin Martinez Lopez,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
20297263,Brenda Ibarra Vazquez,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
5621313,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
1,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
2,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
3,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
4,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
5,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
6,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
7,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
8,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
9,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
10,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
11,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
12,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
13,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
14,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
15,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
16,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
17,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
18,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
19,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
20,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
21,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
22,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
23,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
24,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
25,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
26,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
27,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
28,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
29,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
30,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
31,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
32,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
33,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
34,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
35,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
36,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
37,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
38,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
39,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
40,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
41,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
42,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
43,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
44,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
45,Coordinadora ELD,6317cd37cb734a7bab465619,alberto.garcia@aloux.mx
46,Martin Martinez Lopez,6317cd37cb734a7bab465619,martin@aloux.mx
47,Martin Martinez Lopez,6317cd37cb734a7bab465619,martin@aloux.mx
48,Martin Martinez Lopez,6317cd37cb734a7bab465619,martin@aloux.mx
49,Martin Martinez Lopez,6317cd37cb734a7bab465619,martin@aloux.mx
50,Martin Martinez Lopez,6317cd37cb734a7bab465619,martin@aloux.mx
51,Martin Martinez Lopez,6317cd37cb734a7bab465619,martin@aloux.mx
52,Martin Martinez Lopez,6317cd37cb734a7bab465619,martin@aloux.mx
